n,minC,maxC,meanC,expC,chbshvC,kurtC,minT,maxT,meanT,expT,minD,maxD,meanD,minCX,maxCX,meanCX
1570.0,1763.0,1905.0,1836.193,45.807000000000016,100.35829216764705,0.1515299190630346,0.0022657,0.0074405,0.0026876744000000003,0.0025549255999999998,1.59770842202813e-5,0.0013401253488770871,0.00045017126794467494,5204.0,6072.0,5666.776
1590.0,1780.0,1931.0,1855.87,44.13000000000011,98.92486102152546,0.10698978835508344,0.0023073,0.006771,0.0027842881000000002,0.0024999119,9.45903906476877e-6,0.0015201045531540154,0.00045164646193475183,5362.0,6168.0,5732.563
1610.0,1798.0,1944.0,1876.161,43.16100000000006,98.05772227059377,0.15309407980006506,0.0023139,0.0064387,0.0026844746,0.0024831254,1.5208022051519437e-5,0.0012863842351608862,0.00043961537059218246,5257.0,6255.0,5791.597
1630.0,1815.0,1980.0,1894.673,42.327,100.93814903162198,0.1517151445054341,0.0022981,0.0062979,0.0026623922999999996,0.0024543077000000004,1.844675742186331e-5,0.0015663092149553327,0.000429515437998472,5424.0,6218.0,5845.747
1650.0,1829.0,1976.0,1913.788,41.21199999999999,95.37083787362212,-0.11686950417512065,0.002319,0.0063093,0.0027101570000000004,0.0025107429999999993,7.890304690001564e-6,0.0011895854643603656,0.0004173431781943564,5474.0,6389.0,5912.13
1670.0,1852.0,2009.0,1933.681,45.31899999999996,100.85691298516379,0.25739479561331136,0.0023446,0.0063361,0.0027454348,0.0025631652,8.694163855628955e-6,0.0014891713980052371,0.0004347319886080612,5556.0,6385.0,5971.508
1690.0,1895.0,2025.0,1952.507,40.49299999999994,95.35791604346308,-0.2665462278115971,0.0023617,0.0064286,0.0028188000000000006,0.002624399999999999,7.56032513879568e-6,0.0013272617924165657,0.00041854723744870617,5628.0,6464.0,6030.224
1710.0,1911.0,2044.0,1971.782,44.218000000000075,97.63904394709577,-0.01964092210911117,0.0023847,0.0061374,0.002808863,0.0026745370000000003,1.4147387250491065e-5,0.0011365520264267233,0.0004135022935792785,5649.0,6530.0,6084.357
1730.0,1918.0,2069.0,1993.136,45.13599999999997,105.3546851814844,0.06507210431605248,0.0023923,0.0064933,0.0028360664000000005,0.0026862335999999994,1.0435121663155075e-5,0.0013030437517585433,0.00040354666888361453,5750.0,6594.0,6150.847
1750.0,1946.0,2082.0,2010.494,43.506000000000085,100.33517043602619,-0.11480996475589578,0.0024316,0.0062966,0.0028813706999999997,0.0026951293,2.0863411149107642e-5,0.00122036227079792,0.0004100989749882832,5793.0,6630.0,6201.106
1770.0,1948.0,2110.0,2030.743,43.25700000000006,100.61442382820807,0.13535140122320533,0.0024434,0.006659,0.0028973435000000003,0.0027384564999999995,1.0159094733135835e-5,0.0011398692388689762,0.00040231381273016253,5795.0,6767.0,6270.244
1790.0,1980.0,2118.0,2050.023,44.02300000000014,98.35834374258133,0.05150929693113504,0.0024228,0.0070074,0.0028943884999999996,0.0027031115000000004,2.8301921994769915e-5,0.0010818375795045398,0.00040203768220592483,5978.0,6892.0,6331.335
1810.0,2002.0,2152.0,2069.606,44.60600000000022,102.28644972721364,0.07608509633251348,0.0024678,0.0075231,0.0029207071999999995,0.0026792928000000005,9.917340738978221e-6,0.0012983253821818115,0.0003902240134165804,5944.0,6868.0,6386.055
1830.0,2014.0,2154.0,2090.039,43.960999999999785,99.53761759916354,-0.03328997322054095,0.0024915,0.0064863,0.0029641100000000003,0.00273079,2.4196579813135885e-5,0.0011621326663086662,0.0004055096960044222,5801.0,6833.0,6452.168
1850.0,2030.0,2184.0,2109.198,42.802000000000135,100.43038475572114,0.10366170837259459,0.0025169,0.0064748,0.0029673803999999996,0.0028168196,4.281822316636005e-6,0.0012741569132286655,0.0003846860795135262,5988.0,6950.0,6499.548
1870.0,2061.0,2233.0,2128.874,45.873999999999796,103.54575898704981,0.6035630411420794,0.0025398,0.0067903,0.0029999796999999996,0.0027477203,8.565494543242497e-6,0.0011276340481019705,0.00038173126370489956,6151.0,7069.0,6554.022
1890.0,2085.0,2222.0,2148.205,42.20499999999993,95.95679865026345,0.08007370676390169,0.0025516,0.0067244,0.0030068458999999996,0.0027042541000000006,7.083803802060922e-6,0.0011086346071069832,0.00038373956937676445,6177.0,7029.0,6615.619
1910.0,2085.0,2241.0,2167.899,43.89899999999989,104.53431686964524,0.0649598455814071,0.0025714,0.0096436,0.0030836426000000004,0.0027258574,1.6865787757984575e-5,0.0011440839465899433,0.0003693094670182197,6186.0,7151.0,6674.803
1930.0,2126.0,2259.0,2188.221,45.778999999999996,103.1746489608188,-0.016925518497417524,0.0025995,0.0067399,0.00307737,0.00275383,4.071341428679233e-6,0.001093261804222332,0.00037272381313900886,6242.0,7227.0,6733.031
1950.0,2132.0,2280.0,2207.778,46.22200000000021,102.40909110983235,0.07049830197431106,0.002595,0.0080409,0.0031371473,0.0027284527000000004,1.5719522319095815e-5,0.0013364414701270023,0.00036015298092074825,6343.0,7273.0,6790.733
1970.0,2149.0,2308.0,2228.824,44.17599999999993,102.66879448674442,0.09232756744670478,0.0026359,0.006935,0.0031130381999999995,0.0027699618000000007,8.879350491264547e-6,0.00109275255314738,0.00036324270983854667,6366.0,7299.0,6849.072
1990.0,2180.0,2317.0,2248.566,46.4340000000002,102.25580242279226,-0.021106496105969708,0.0026652,0.00967,0.0031684137999999995,0.0027736862,1.578624162760341e-5,0.0010067484612343819,0.0003446466298445535,6398.0,7381.0,6903.487
2010.0,2193.0,2348.0,2267.424,46.57600000000002,105.85069130076029,-0.07096178881568038,0.0026941,0.0066924,0.0031767410999999995,0.002826158900000001,1.7934186857767833e-5,0.0010418039998396121,0.00036135452219719183,6424.0,7441.0,6961.833
2030.0,2217.0,2353.0,2286.708,44.291999999999916,101.27245840222714,-0.061215415197955814,0.0026938,0.0069867,0.0032091429,0.0028286571,3.7277045895211103e-6,0.000985234534057838,0.0003432054845238757,6606.0,7506.0,7015.017
