n,min,max,mean,exp,chbshv,kurt,time,expT,minD,maxD,depth
1380.0,26.0,119.0,59.413057971014496,24.586942028985504,56.171569154296435,0.5190871335289877,0.0010789010119565217,0.0001242010119565217,25.0,119.0,59.60746376811594
1420.0,30.0,118.0,58.65294718309859,21.65294718309859,50.32085575712273,0.4218001520352206,0.0011161713767605633,0.00013007137676056334,30.0,117.0,58.81305633802817
1460.0,28.0,114.0,58.46325342465754,22.463253424657537,52.34782951631454,-0.012150925294185377,0.0011613586565068495,0.00014355865650684954,28.0,114.0,58.61695547945205
1500.0,31.0,122.0,61.27416,23.274160000000002,54.770465811734866,0.4449433468680519,0.0012050066,0.0001555065999999999,30.0,122.0,61.40753333333333
1540.0,29.0,119.0,61.36937012987013,22.630629870129873,53.09029380728184,0.3135273838336756,0.0012422014409090908,0.00016180144090909075,27.0,120.0,61.527
1580.0,30.0,125.0,62.407917721518984,24.407917721518984,55.89357586014391,0.3536039850935211,0.0012913825272151901,0.00017798252721519005,30.0,125.0,62.524272151898735
1620.0,32.0,121.0,62.59202777777778,23.59202777777778,55.628607933956225,0.4167864385672959,0.001335163900308642,0.00019286390030864202,31.0,122.0,62.7053024691358
1660.0,29.0,121.0,62.13713855421687,23.137138554216868,54.756921770550434,0.2914672653102981,0.0013645597987951808,0.0001947597987951809,29.0,121.0,62.32605421686747
1700.0,27.0,130.0,64.4102,23.589799999999997,56.19519454093733,0.4302112861847398,0.0014368621535294115,0.00023406215352941157,27.0,130.0,64.59266764705882
1740.0,31.0,116.0,63.80223275862069,24.19776724137931,56.04207835213852,0.13490579630134958,0.0014794625764367813,0.00024946257643678133,31.0,115.0,63.899692528735635
1780.0,31.0,125.0,64.76235674157303,24.76235674157303,57.70797982580325,0.3789157900394766,0.00151426447247191,0.00025136447247191013,31.0,125.0,64.95042415730337
1820.0,31.0,145.0,65.2029945054945,25.7970054945055,60.03138324130728,0.9843550001997285,0.0015364731670329667,0.00024722683296703337,30.0,145.0,65.34757967032967
1860.0,32.0,125.0,65.42173655913979,25.578263440860212,59.80130462488154,0.13207198095740358,0.0015656654037634408,0.0002471654037634408,31.0,125.0,65.59588978494624
1900.0,33.0,128.0,66.6567605263158,26.343239473684207,60.292850974312216,0.3675866902367777,0.0015989755276315794,0.0002495755276315794,33.0,129.0,66.7904447368421
1940.0,34.0,133.0,67.60095360824742,26.399046391752577,62.37897817159653,0.2917092675911839,0.0016514451958762888,0.0002692451958762887,32.0,133.0,67.76929896907217
1980.0,33.0,122.0,66.68110858585858,24.31889141414142,56.839056233344486,-0.009734034895054755,0.0016882845356060608,0.00027348453560606086,33.0,122.0,66.83427272727273
